order_id,shop_id,user_id,order_amount,total_items,payment_method,created_at
2,92,925,90,1,cash
159,92,795,90,1,credit_card
229,92,757,90,1,debit
323,92,783,90,1,debit
591,92,967,90,1,debit
1844,92,987,90,1,debit
2093,92,986,90,1,debit
2504,92,935,90,1,credit_card
3188,92,854,90,1,credit_card
3201,92,858,90,1,cash
3364,92,730,90,1,credit_card
3872,92,818,90,1,debit
4184,92,844,90,1,debit
4220,92,747,90,1,credit_card
4415,92,927,90,1,credit_card
4761,92,937,90,1,debit
4924,92,965,90,1,credit_card
4933,92,823,90,1,credit_card
656,2,831,94,1,credit_card
679,2,888,94,1,debit
784,2,860,94,1,debit
867,2,894,94,1,credit_card
928,2,878,94,1,credit_card
940,2,918,94,1,credit_card
1229,2,921,94,1,cash
1277,2,818,94,1,credit_card
1455,2,978,94,1,credit_card
1590,2,758,94,1,credit_card
1720,2,871,94,1,cash
1869,2,821,94,1,cash
1874,2,941,94,1,credit_card
1890,2,789,94,1,cash
2251,2,875,94,1,cash
2509,2,902,94,1,cash
2747,2,897,94,1,debit
2813,2,704,94,1,credit_card
2821,2,733,94,1,debit
3298,2,794,94,1,debit
3570,2,862,94,1,credit_card
4199,2,990,94,1,cash
4303,2,996,94,1,credit_card
4395,2,898,94,1,cash
4455,2,943,94,1,credit_card
1137,32,726,101,1,cash
1221,32,778,101,1,credit_card
1275,32,861,101,1,credit_card
1289,32,901,101,1,cash
1393,32,867,101,1,cash
1644,32,875,101,1,credit_card
1668,32,885,101,1,credit_card
2384,32,885,101,1,debit
2989,32,832,101,1,cash
3016,32,746,101,1,debit
3181,32,809,101,1,cash
4067,32,983,101,1,credit_card
4118,32,841,101,1,cash
4535,32,765,101,1,debit
4608,32,968,101,1,cash
14,100,709,111,1,cash
84,100,817,111,1,cash
147,100,899,111,1,debit
365,100,784,111,1,debit
483,100,947,111,1,debit
847,100,745,111,1,credit_card
1211,100,765,111,1,debit
1679,100,985,111,1,debit
1805,100,794,111,1,debit
2516,100,899,111,1,debit
3126,100,959,111,1,cash
3982,100,818,111,1,cash
4137,100,888,111,1,credit_card
4429,100,997,111,1,debit
4846,100,857,111,1,cash
4987,100,731,111,1,cash
28,53,942,112,1,credit_card
66,7,988,112,1,debit
191,7,805,112,1,credit_card
299,53,928,112,1,credit_card
616,7,710,112,1,cash
696,7,876,112,1,debit
717,53,815,112,1,credit_card
728,7,775,112,1,debit
871,53,967,112,1,debit
988,7,986,112,1,debit
1033,7,782,112,1,debit
1171,53,888,112,1,debit
1377,53,778,112,1,debit
1380,53,913,112,1,credit_card
1408,7,915,112,1,credit_card
1431,7,830,112,1,debit
1468,7,745,112,1,cash
1599,53,889,112,1,credit_card
1656,53,966,112,1,cash
1718,7,825,112,1,credit_card
1729,7,845,112,1,debit
1902,53,901,112,1,cash
2055,53,733,112,1,cash
2277,53,902,112,1,debit
2314,7,839,112,1,debit
2410,53,706,112,1,debit
2491,53,954,112,1,debit
2508,53,984,112,1,cash
2631,53,940,112,1,credit_card
2720,53,797,112,1,cash
3011,53,785,112,1,cash
3051,53,707,112,1,credit_card
3335,53,748,112,1,cash
3347,7,759,112,1,debit
3356,53,914,112,1,cash
3674,7,718,112,1,cash
3829,7,746,112,1,credit_card
3835,7,986,112,1,debit
3846,7,755,112,1,credit_card
3877,7,791,112,1,credit_card
3993,7,970,112,1,credit_card
4089,53,722,112,1,debit
4217,53,909,112,1,cash
4260,7,746,112,1,credit_card
4323,53,855,112,1,cash
4557,7,825,112,1,cash
